Image File Name,Human Label
0.png,dog
1.png,airplane
2.png,truck
3.png,ship
4.png,automobile
5.png,ship
6.png,dog
7.png,deer
8.png,deer
9.png,bird
10.png,truck
11.png,truck
12.png,dog
13.png,truck
14.png,deer
15.png,cat
16.png,airplane
17.png,airplane
18.png,deer
19.png,truck
20.png,horse
21.png,dog
22.png,cat
23.png,bird
24.png,bird
25.png,dog
26.png,dog
27.png,cat
28.png,frog
29.png,horse
30.png,bird
31.png,ship
32.png,bird
33.png,deer
34.png,bird
35.png,bird
36.png,deer
37.png,bird
38.png,cat
39.png,automobile
40.png,truck
41.png,bird
42.png,bird
43.png,bird
44.png,ship
45.png,bird
46.png,truck
47.png,bird
48.png,truck
49.png,automobile
50.png,airplane
51.png,cat
52.png,frog
53.png,airplane
54.png,deer
55.png,automobile
56.png,dog
57.png,truck
58.png,airplane
59.png,airplane
60.png,cat
61.png,dog
62.png,bird
63.png,airplane
64.png,dog
65.png,automobile
66.png,bird
67.png,truck
68.png,horse
69.png,frog
70.png,automobile
71.png,bird
72.png,horse
73.png,automobile
74.png,truck
75.png,airplane
76.png,horse
77.png,airplane
78.png,horse
79.png,dog
80.png,dog
81.png,bird
82.png,horse
83.png,airplane
84.png,automobile
85.png,ship
86.png,deer
87.png,dog
88.png,cat
89.png,airplane
90.png,truck
91.png,deer
92.png,deer
93.png,deer
94.png,dog
95.png,horse
96.png,automobile
97.png,horse
98.png,dog
99.png,deer
100.png,truck
101.png,ship
102.png,frog
103.png,airplane
104.png,cat
105.png,truck
106.png,ship
107.png,automobile
108.png,ship
109.png,frog
110.png,ship
111.png,frog
112.png,bird
113.png,frog
114.png,frog
115.png,deer
116.png,frog
117.png,automobile
118.png,frog
119.png,truck
120.png,airplane
121.png,truck
122.png,deer
123.png,ship
124.png,deer
125.png,horse
126.png,truck
127.png,automobile
128.png,deer
129.png,dog
130.png,automobile
131.png,automobile
132.png,ship
133.png,cat
134.png,frog
135.png,cat
136.png,horse
137.png,dog
138.png,frog
139.png,airplane
140.png,horse
141.png,deer
142.png,frog
143.png,dog
144.png,automobile
145.png,bird
